pg_id,title,author,year,fictionality,language,pages
43607,"Builders of united Italy, by Rupert S. Holland; with eight portraits.","Holland, Rupert Sargent, 1878-1952.",1908,0,eng,349.0
6543,Droll Stories / by Honore de Balzac. Illustrated by Gustave Doré,"Balzac, Honoré de, 1799-1850",1929,0,eng,650.0
10836,"The algebra of logic, by Louis Couturat; authorized English translation by Lydia Gillingham Robinson, with a preface by Philip E. B. Jourdain.","Couturat, Louis, 1868-1914.",1914,0,eng,98.0
56578,The works of Thomas Jefferson / published by order of Congress from the original manuscripts deposited in the Department of State ; edited by H.A. Washington.,"Jefferson, Thomas, 1743-1826.",1884,0,eng,
26219,The dog Crusoe and his master : a story of adventure in the western prairies.,"Ballantyne, R. M. 1825-1894.",1909,0,eng,
33487,"Barbarossa : a tragedy, in five acts. / By Dr. Brown. ; As performed at the Theatre Royal, Covent Garden. ; (First published in London, 1754.).","Brown, John, 1715-1766.",1809,0,eng,
26583,"The fortunes and misfortunes of the famous Moll Flanders &c : who was born in Newgate, and during a life of continued variety for threescore years, besides her childhood, was twelve year a whore, five times a wife (whereof once to her own brother), twelve year a thief, eight year a transported felon in Virginia, at last grew rich, lived honest & died a penitent : written from her own memorandums / Daniel Defoe ; with a foreword by Oliver St. John Gogarty ; black-and-white illustrations by Arthur Wragg.","Defoe, Daniel, 1661?-1731.",1948,0,eng,419.0
21149,Max and Moritz / Wilhelm Busch ; in English dialects and creoles ; edited by Manfred Görlach.,"Busch, Wilhelm, 1832-1908.",1986,0,eng,
20976,The history of England from accession of James II. / By Thomas Babington Macaulay.,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",1856,0,eng,
12664,"Lyrics of earth, by Archibald Lampman.","Lampman, Archibald, 1861-1899.",1925,0,eng,276.0
23896,The secret agent.,"Conrad, Joseph, 1857-1924.",1923,0,eng,
9515,"Works of Edgar Allan Poe : sixty-seven tales, one complete novel and thirty-one poems.","Poe, Edgar Allan, 1809-1849.",1990,1,eng,
140,The jungle / by Upton Sinclair.,"Sinclair, Upton, 1878-1968.",1906,1,eng,413.0
26935,"Conservation reader, by Harold W. Fairbanks, illustrated with photographs and with reproductions of paintings in color.","Fairbanks, Harold W. b. 1860.",1920,0,eng,216.0
